config,mask,best,mean,std,worst,avg_time,run1,run2,run3,run4,run5,run6,run7,run8,run9,run10
ALL,"[1  1  1  1  1]",88.6000,95.3281,5.4720,109.1239,11.4639,93.3123,98.3652,91.7032,93.1432,95.2168,93.7484,95.1213,109.1239,94.9471,88.6000
NO_N1,"[0  1  1  1  1]",89.0013,94.1628,4.5083,101.9910,9.1204,89.0013,101.9910,89.4542,97.6671,92.2774,93.5123,91.4658,100.7535,91.7819,93.7239
NO_N2,"[1  0  1  1  1]",91.5639,97.6457,5.2422,108.7239,8.9206,96.1613,108.7239,95.2039,91.5639,94.1071,96.5587,95.6684,104.9071,98.7316,94.8310
NO_N3,"[1  1  0  1  1]",89.2955,95.2732,5.2837,105.6168,9.4472,90.3729,99.7961,96.5819,93.7755,93.6942,99.8826,94.4116,105.6168,89.3045,89.2955
NO_N4,"[1  1  1  0  1]",89.7329,97.4018,6.9797,112.5613,8.8176,90.5458,104.4465,91.7897,93.1665,99.0219,96.9561,98.3652,112.5613,89.7329,97.4323
NO_N5,"[1  1  1  1  0]",90.7794,95.7337,5.1489,107.9226,9.5091,94.4477,107.9226,93.1239,92.8348,90.7794,100.3316,92.4516,98.3652,93.8155,93.2645
NO_VNS,"[0  0  0  0  0]",111.1794,120.8849,6.2503,131.2181,1.2039,121.7535,131.2181,127.0258,121.7729,122.6748,114.2839,120.0129,124.9316,111.1794,113.9961
